Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
2001,Nova Scotia,All family units,Market income,Second quintile,17100,6.9
2001,Nova Scotia,All family units,Market income,Third quintile,36000,14.6
2001,Nova Scotia,All family units,Market income,Fourth quintile,62400,25.3
2001,Nova Scotia,All family units,Market income,Highest quintile,126300,51.3
2001,Nova Scotia,All family units,Total income,Total of quintiles,58500,100
2001,Nova Scotia,All family units,Total income,Lowest quintile,13000,4.4
2001,Nova Scotia,All family units,Total income,Second quintile,28800,9.8
2001,Nova Scotia,All family units,Total income,Third quintile,46600,15.9
2001,Nova Scotia,All family units,Total income,Fourth quintile,71300,24.4
2001,Nova Scotia,All family units,Total income,Highest quintile,132900,45.4
2001,Nova Scotia,All family units,After-tax income,Total of quintiles,48700,100
2001,Nova Scotia,All family units,After-tax income,Lowest quintile,12700,5.2
2001,Nova Scotia,All family units,After-tax income,Second quintile,26600,10.9
2001,Nova Scotia,All family units,After-tax income,Third quintile,40800,16.8
2001,Nova Scotia,All family units,After-tax income,Fourth quintile,59500,24.4
2001,Nova Scotia,All family units,After-tax income,Highest quintile,103800,42.7
2001,Nova Scotia,"Economic families, two persons or more",Market income,Total of quintiles,62700,100
2001,Nova Scotia,"Economic families, two persons or more",Market income,Lowest quintile,9800,3.1
2001,Nova Scotia,"Economic families, two persons or more",Market income,Second quintile,30000,9.6
2001,Nova Scotia,"Economic families, two persons or more",Market income,Third quintile,52400,16.7
2001,Nova Scotia,"Economic families, two persons or more",Market income,Fourth quintile,78000,24.9
2001,Nova Scotia,"Economic families, two persons or more",Market income,Highest quintile,143000,45.6
2001,Nova Scotia,"Economic families, two persons or more",Total income,Total of quintiles,72700,100
2001,Nova Scotia,"Economic families, two persons or more",Total income,Lowest quintile,23500,6.5
2001,Nova Scotia,"Economic families, two persons or more",Total income,Second quintile,42600,11.7
2001,Nova Scotia,"Economic families, two persons or more",Total income,Third quintile,62200,17.1
2001,Nova Scotia,"Economic families, two persons or more",Total income,Fourth quintile,86300,23.7
2001,Nova Scotia,"Economic families, two persons or more",Total income,Highest quintile,149100,41
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Total of quintiles,60200,100
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Lowest quintile,22800,7.6
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Second quintile,38700,12.9
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Third quintile,53000,17.6
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Fourth quintile,71200,23.6
2001,Nova Scotia,"Economic families, two persons or more",After-tax income,Highest quintile,115300,38.3
2001,Nova Scotia,Unattached individuals,Market income,Total of quintiles,20500,100
2001,Nova Scotia,Unattached individuals,Market income,Lowest quintile,2400,2.4
2001,Nova Scotia,Unattached individuals,Market income,Second quintile,5000,4.8
2001,Nova Scotia,Unattached individuals,Market income,Third quintile,11100,10.8
2001,Nova Scotia,Unattached individuals,Market income,Fourth quintile,26000,25.4
2001,Nova Scotia,Unattached individuals,Market income,Highest quintile,58000,56.6
2001,Nova Scotia,Unattached individuals,Total income,Total of quintiles,27900,100
2001,Nova Scotia,Unattached individuals,Total income,Lowest quintile,6300,4.5
2001,Nova Scotia,Unattached individuals,Total income,Second quintile,15300,10.9
2001,Nova Scotia,Unattached individuals,Total income,Third quintile,21800,15.6
2001,Nova Scotia,Unattached individuals,Total income,Fourth quintile,33100,23.7
2001,Nova Scotia,Unattached individuals,Total income,Highest quintile,63100,45.2
2001,Nova Scotia,Unattached individuals,After-tax income,Total of quintiles,23900,100
2001,Nova Scotia,Unattached individuals,After-tax income,Lowest quintile,6300,5.2
2001,Nova Scotia,Unattached individuals,After-tax income,Second quintile,15000,12.5
2001,Nova Scotia,Unattached individuals,After-tax income,Third quintile,20400,17
2001,Nova Scotia,Unattached individuals,After-tax income,Fourth quintile,28400,23.7
2001,Nova Scotia,Unattached individuals,After-tax income,Highest quintile,49700,41.5
2001,New Brunswick,All family units,Market income,Total of quintiles,47800,100
2001,New Brunswick,All family units,Market income,Lowest quintile,4500,1.9
2001,New Brunswick,All family units,Market income,Second quintile,16100,6.7
2001,New Brunswick,All family units,Market income,Third quintile,35200,14.7
2001,New Brunswick,All family units,Market income,Fourth quintile,60100,25.1
2001,New Brunswick,All family units,Market income,Highest quintile,123300,51.5
2001,New Brunswick,All family units,Total income,Total of quintiles,57800,100
2001,New Brunswick,All family units,Total income,Lowest quintile,13500,4.7
2001,New Brunswick,All family units,Total income,Second quintile,29200,10.1
2001,New Brunswick,All family units,Total income,Third quintile,46800,16.2
2001,New Brunswick,All family units,Total income,Fourth quintile,69600,24.1
2001,New Brunswick,All family units,Total income,Highest quintile,130000,45
2001,New Brunswick,All family units,After-tax income,Total of quintiles,48500,100
2001,New Brunswick,All family units,After-tax income,Lowest quintile,13100,5.4
2001,New Brunswick,All family units,After-tax income,Second quintile,26900,11.1
2001,New Brunswick,All family units,After-tax income,Third quintile,41400,17.1
2001,New Brunswick,All family units,After-tax income,Fourth quintile,59000,24.3
2001,New Brunswick,All family units,After-tax income,Highest quintile,102200,42.1
2001,New Brunswick,"Economic families, two persons or more",Market income,Total of quintiles,58500,100
2001,New Brunswick,"Economic families, two persons or more",Market income,Lowest quintile,8300,2.8
2001,New Brunswick,"Economic families, two persons or more",Market income,Second quintile,27900,9.5
2001,New Brunswick,"Economic families, two persons or more",Market income,Third quintile,49400,16.9
2001,New Brunswick,"Economic families, two persons or more",Market income,Fourth quintile,73400,25.1
2001,New Brunswick,"Economic families, two persons or more",Market income,Highest quintile,133500,45.6
2001,New Brunswick,"Economic families, two persons or more",Total income,Total of quintiles,69400,100
2001,New Brunswick,"Economic families, two persons or more",Total income,Lowest quintile,22700,6.5
2001,New Brunswick,"Economic families, two persons or more",Total income,Second quintile,42100,12.1
2001,New Brunswick,"Economic families, two persons or more",Total income,Third quintile,60200,17.4
2001,New Brunswick,"Economic families, two persons or more",Total income,Fourth quintile,81800,23.6
2001,New Brunswick,"Economic families, two persons or more",Total income,Highest quintile,140100,40.4
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Total of quintiles,58200,100
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Lowest quintile,22100,7.6
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Second quintile,38400,13.2
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Third quintile,52100,17.9
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Fourth quintile,68300,23.5
2001,New Brunswick,"Economic families, two persons or more",After-tax income,Highest quintile,109900,37.8
2001,New Brunswick,Unattached individuals,Market income,Total of quintiles,21600,100
2001,New Brunswick,Unattached individuals,Market income,Lowest quintile,3300,3.1
2001,New Brunswick,Unattached individuals,Market income,Second quintile,5000,4.7
2001,New Brunswick,Unattached individuals,Market income,Third quintile,9600,8.9
2001,New Brunswick,Unattached individuals,Market income,Fourth quintile,22500,20.8
2001,New Brunswick,Unattached individuals,Market income,Highest quintile,67500,62.6
2001,New Brunswick,Unattached individuals,Total income,Total of quintiles,29500,100
2001,New Brunswick,Unattached individuals,Total income,Lowest quintile,7600,5.2
2001,New Brunswick,Unattached individuals,Total income,Second quintile,15100,10.2
2001,New Brunswick,Unattached individuals,Total income,Third quintile,21000,14.2
2001,New Brunswick,Unattached individuals,Total income,Fourth quintile,31600,21.4
2001,New Brunswick,Unattached individuals,Total income,Highest quintile,72100,48.9
2001,New Brunswick,Unattached individuals,After-tax income,Total of quintiles,24800,100
2001,New Brunswick,Unattached individuals,After-tax income,Lowest quintile,6900,5.6
2001,New Brunswick,Unattached individuals,After-tax income,Second quintile,14800,11.9
2001,New Brunswick,Unattached individuals,After-tax income,Third quintile,19700,15.9
2001,New Brunswick,Unattached individuals,After-tax income,Fourth quintile,27600,22.2
2001,New Brunswick,Unattached individuals,After-tax income,Highest quintile,55100,44.4
2001,Quebec,All family units,Market income,Total of quintiles,51900,100
2001,Quebec,All family units,Market income,Lowest quintile,4800,1.8
2001,Quebec,All family units,Market income,Second quintile,19000,7.3
2001,Quebec,All family units,Market income,Third quintile,37200,14.3
2001,Quebec,All family units,Market income,Fourth quintile,64300,24.8
2001,Quebec,All family units,Market income,Highest quintile,134300,51.7
2001,Quebec,All family units,Total income,Total of quintiles,60600,100
2001,Quebec,All family units,Total income,Lowest quintile,13600,4.5
2001,Quebec,All family units,Total income,Second quintile,29900,9.9
2001,Quebec,All family units,Total income,Third quintile,47500,15.7
2001,Quebec,All family units,Total income,Fourth quintile,71800,23.7
2001,Quebec,All family units,Total income,Highest quintile,140100,46.2
2001,Quebec,All family units,After-tax income,Total of quintiles,49100,100
2001,Quebec,All family units,After-tax income,Lowest quintile,13000,5.3
2001,Quebec,All family units,After-tax income,Second quintile,27100,11
2001,Quebec,All family units,After-tax income,Third quintile,40800,16.6
2001,Quebec,All family units,After-tax income,Fourth quintile,58800,23.9
2001,Quebec,All family units,After-tax income,Highest quintile,105800,43.1
2001,Quebec,"Economic families, two persons or more",Market income,Total of quintiles,67200,100
2001,Quebec,"Economic families, two persons or more",Market income,Lowest quintile,11100,3.3
2001,Quebec,"Economic families, two persons or more",Market income,Second quintile,31900,9.5
2001,Quebec,"Economic families, two persons or more",Market income,Third quintile,54700,16.3
2001,Quebec,"Economic families, two persons or more",Market income,Fourth quintile,81500,24.3
